good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon,subtype
Doktor hanımefendi yaşlı hastayla özel olarak ilgileniyor.,Doktor hanımefendi yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Doktor hatun yaşlı hastayla özel olarak ilgileniyor.,Doktor hatun yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Doktor zat yaşlı hastayla özel olarak ilgileniyor.,Doktor zat yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Doktor telefon yaşlı hastayla özel olarak ilgileniyor.,Doktor telefon yaşlı hastayı özel olarak ilgileniyor.,hastayla,hastayı,ilgileniyor,argument_structure,transitive
Bizim misafirimiz komşunun kedisinden baya korkuyormuş.,Bizim misafirimiz komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim canımız komşunun kedisinden baya korkuyormuş.,Bizim canımız komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim dostumuz komşunun kedisinden baya korkuyormuş.,Bizim dostumuz komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim ailemiz komşunun kedisinden baya korkuyormuş.,Bizim ailemiz komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim kızımız komşunun kedisinden baya korkuyormuş.,Bizim kızımız komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim sevgimiz komşunun kedisinden baya korkuyormuş.,Bizim sevgimiz komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim hastamız komşunun kedisinden baya korkuyormuş.,Bizim hastamız komşunun kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim kuşumuz babanın kedisinden baya korkuyormuş.,Bizim kuşumuz babanın kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Bizim kuşumuz ailenin kedisinden baya korkuyormuş.,Bizim kuşumuz ailenin kedisini baya korkuyormuş.,kedisinden,kedisini,korkuyormuş,argument_structure,transitive
Hükümet lideri yeni yasada hala ısrar ediyor.,Hükümet lideri yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet federasyonu yeni yasada hala ısrar ediyor.,Hükümet federasyonu yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet adası yeni yasada hala ısrar ediyor.,Hükümet adası yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet projesi yeni yasada hala ısrar ediyor.,Hükümet projesi yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet devleti yeni yasada hala ısrar ediyor.,Hükümet devleti yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet programı yeni yasada hala ısrar ediyor.,Hükümet programı yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet cemaati yeni yasada hala ısrar ediyor.,Hükümet cemaati yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet koalisyonu yeni yasada hala ısrar ediyor.,Hükümet koalisyonu yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Hükümet partisi yeni yasada hala ısrar ediyor.,Hükümet partisi yeni yasayı hala ısrar ediyor.,yasada,yasayı,ısrar ediyor,argument_structure,transitive
Kaba master genç garsonla resmen dalga geçti.,Kaba master genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba partner genç garsonla resmen dalga geçti.,Kaba partner genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba ur genç garsonla resmen dalga geçti.,Kaba ur genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba firma genç garsonla resmen dalga geçti.,Kaba firma genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba bayi genç garsonla resmen dalga geçti.,Kaba bayi genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba servis genç garsonla resmen dalga geçti.,Kaba servis genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba şirket genç garsonla resmen dalga geçti.,Kaba şirket genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba hizmet genç garsonla resmen dalga geçti.,Kaba hizmet genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Kaba temsilci genç garsonla resmen dalga geçti.,Kaba temsilci genç garsona resmen dalga geçti.,garsonla,garsona,dalga geçti,argument_structure,transitive
Yani senin bu tavırlarından bıktım.,Yani senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Anlaşılan senin bu tavırlarından bıktım.,Anlaşılan senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
O halde senin bu tavırlarından bıktım.,O halde senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Öyle görünüyor ki senin bu tavırlarından bıktım.,Öyle görünüyor ki senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Demek ki senin bu tavırlarından bıktım.,Demek ki senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Şu halde senin bu tavırlarından bıktım.,Şu halde senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Belli ki senin bu tavırlarından bıktım.,Belli ki senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Anlaşılıyor ki senin bu tavırlarından bıktım.,Anlaşılıyor ki senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Görünüşe göre senin bu tavırlarından bıktım.,Görünüşe göre senin bu tavırlarına bıktım.,tavırlarından,tavırlarına,bıktım,argument_structure,transitive
Tatil için Bodrum'da karar kılmışlar.,Tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Şu halde tatil için Bodrum'da karar kılmışlar.,Şu halde tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Görünüşe göre tatil için Bodrum'da karar kılmışlar.,Görünüşe göre tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Anlaşılan tatil için Bodrum'da karar kılmışlar.,Anlaşılan tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Anlaşılıyor ki tatil için Bodrum'da karar kılmışlar.,Anlaşılıyor ki tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Demek ki tatil için Bodrum'da karar kılmışlar.,Demek ki tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Öyle görünüyor ki tatil için Bodrum'da karar kılmışlar.,Öyle görünüyor ki tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Yani tatil için Bodrum'da karar kılmışlar.,Yani tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
O halde tatil için Bodrum'da karar kılmışlar.,O halde tatil için Bodrum'a karar kılmışlar.,Bodrum'da,Bodrum'a,karar kılmışlar,argument_structure,transitive
Bu soruna çok ayağa yordum.,Bu sorunu çok ayağa yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok beye yordum.,Bu sorunu çok beye yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok kola yordum.,Bu sorunu çok kola yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok omza yordum.,Bu sorunu çok omza yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok omuriliğe yordum.,Bu sorunu çok omuriliğe yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok göze yordum.,Bu sorunu çok göze yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok omurgaya yordum.,Bu sorunu çok omurgaya yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok bacağa yordum.,Bu sorunu çok bacağa yordum.,soruna,sorunu,yordum,argument_structure,transitive
Bu soruna çok vücuda yordum.,Bu sorunu çok vücuda yordum.,soruna,sorunu,yordum,argument_structure,transitive
Anlaşılıyor ki bütün gece onu düşündüm.,Anlaşılıyor ki bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Anlaşılan bütün gece onu düşündüm.,Anlaşılan bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Görünüşe göre bütün gece onu düşündüm.,Görünüşe göre bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Şu halde bütün gece onu düşündüm.,Şu halde bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Öyle görünüyor ki bütün gece onu düşündüm.,Öyle görünüyor ki bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Demek ki bütün gece onu düşündüm.,Demek ki bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
O halde bütün gece onu düşündüm.,O halde bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Yani bütün gece onu düşündüm.,Yani bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Belli ki bütün gece onu düşündüm.,Belli ki bütün gece ondan düşündüm.,onu,ondan,düşündüm,argument_structure,transitive
Anlaşılan bu türküye bayılıyorum.,Anlaşılan bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Öyle görünüyor ki bu türküye bayılıyorum.,Öyle görünüyor ki bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Demek ki bu türküye bayılıyorum.,Demek ki bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Belli ki bu türküye bayılıyorum.,Belli ki bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Anlaşılıyor ki bu türküye bayılıyorum.,Anlaşılıyor ki bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
O halde bu türküye bayılıyorum.,O halde bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Yani bu türküye bayılıyorum.,Yani bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Görünüşe göre bu türküye bayılıyorum.,Görünüşe göre bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Şu halde bu türküye bayılıyorum.,Şu halde bu türküyü bayılıyorum.,türküye,türküyü,bayılıyorum,argument_structure,transitive
Kardeşimin mezuniyetini unuttum.,Kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Yani kardeşimin mezuniyetini unuttum.,Yani kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
O halde kardeşimin mezuniyetini unuttum.,O halde kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Anlaşılan kardeşimin mezuniyetini unuttum.,Anlaşılan kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Görünüşe göre kardeşimin mezuniyetini unuttum.,Görünüşe göre kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Şu halde kardeşimin mezuniyetini unuttum.,Şu halde kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Demek ki kardeşimin mezuniyetini unuttum.,Demek ki kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Belli ki kardeşimin mezuniyetini unuttum.,Belli ki kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Anlaşılıyor ki kardeşimin mezuniyetini unuttum.,Anlaşılıyor ki kardeşimin mezuniyetine unuttum.,mezuniyetini,mezuniyetine,unuttum,argument_structure,transitive
Yarın onlara da uğrarım.,Yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Belli ki yarın onlara da uğrarım.,Belli ki yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Demek ki yarın onlara da uğrarım.,Demek ki yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Anlaşılan yarın onlara da uğrarım.,Anlaşılan yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Öyle görünüyor ki yarın onlara da uğrarım.,Öyle görünüyor ki yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Anlaşılıyor ki yarın onlara da uğrarım.,Anlaşılıyor ki yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Yani yarın onlara da uğrarım.,Yani yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Şu halde yarın onlara da uğrarım.,Şu halde yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
Görünüşe göre yarın onlara da uğrarım.,Görünüşe göre yarın onları da uğrarım.,onlara,onları,uğrarım,argument_structure,transitive
O halde bu müjdeye çok sevindim.,O halde bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Anlaşılan bu müjdeye çok sevindim.,Anlaşılan bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Belli ki bu müjdeye çok sevindim.,Belli ki bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Şu halde bu müjdeye çok sevindim.,Şu halde bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Anlaşılıyor ki bu müjdeye çok sevindim.,Anlaşılıyor ki bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Demek ki bu müjdeye çok sevindim.,Demek ki bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Görünüşe göre bu müjdeye çok sevindim.,Görünüşe göre bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Yani bu müjdeye çok sevindim.,Yani bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Öyle görünüyor ki bu müjdeye çok sevindim.,Öyle görünüyor ki bu müjdeyi çok sevindim.,müjdeye,müjdeyi,sevindim,argument_structure,transitive
Köpeğim merdivenlerden düştü.,Köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Anlaşılıyor ki köpeğim merdivenlerden düştü.,Anlaşılıyor ki köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Öyle görünüyor ki köpeğim merdivenlerden düştü.,Öyle görünüyor ki köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Belli ki köpeğim merdivenlerden düştü.,Belli ki köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Yani köpeğim merdivenlerden düştü.,Yani köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Şu halde köpeğim merdivenlerden düştü.,Şu halde köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
O halde köpeğim merdivenlerden düştü.,O halde köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Anlaşılan köpeğim merdivenlerden düştü.,Anlaşılan köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Demek ki köpeğim merdivenlerden düştü.,Demek ki köpeğim merdivenleri düştü.,merdivenlerden,merdivenleri,düştü,argument_structure,transitive
Babam her zaman bana destek olur.,Babam her zaman beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her saat bana destek olur.,Babam her saat beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her tarih bana destek olur.,Babam her tarih beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her gün bana destek olur.,Babam her gün beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her olay bana destek olur.,Babam her olay beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her faktör bana destek olur.,Babam her faktör beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her say bana destek olur.,Babam her say beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her takvim bana destek olur.,Babam her takvim beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Babam her done bana destek olur.,Babam her done beni destek olur.,bana,beni,destek olur,argument_structure,transitive
Müdürümüz bize çok kızdı.,Müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Anlaşılıyor ki müdürümüz bize çok kızdı.,Anlaşılıyor ki müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
O halde müdürümüz bize çok kızdı.,O halde müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Şu halde müdürümüz bize çok kızdı.,Şu halde müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Belli ki müdürümüz bize çok kızdı.,Belli ki müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Görünüşe göre müdürümüz bize çok kızdı.,Görünüşe göre müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Demek ki müdürümüz bize çok kızdı.,Demek ki müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Öyle görünüyor ki müdürümüz bize çok kızdı.,Öyle görünüyor ki müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Yani müdürümüz bize çok kızdı.,Yani müdürümüz bizi çok kızdı.,bize,bizi,kızdı,argument_structure,transitive
Belli ki bu diziye bayılıyoruz.,Belli ki bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
O halde bu diziye bayılıyoruz.,O halde bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Şu halde bu diziye bayılıyoruz.,Şu halde bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Anlaşılan bu diziye bayılıyoruz.,Anlaşılan bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Öyle görünüyor ki bu diziye bayılıyoruz.,Öyle görünüyor ki bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Anlaşılıyor ki bu diziye bayılıyoruz.,Anlaşılıyor ki bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Görünüşe göre bu diziye bayılıyoruz.,Görünüşe göre bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Yani bu diziye bayılıyoruz.,Yani bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Demek ki bu diziye bayılıyoruz.,Demek ki bu diziyi bayılıyoruz.,diziye,diziyi,bayılıyoruz,argument_structure,transitive
Anlaşılıyor ki bu kasabayı çok seviyorum.,Anlaşılıyor ki bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Belli ki bu kasabayı çok seviyorum.,Belli ki bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Yani bu kasabayı çok seviyorum.,Yani bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Anlaşılan bu kasabayı çok seviyorum.,Anlaşılan bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Öyle görünüyor ki bu kasabayı çok seviyorum.,Öyle görünüyor ki bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Demek ki bu kasabayı çok seviyorum.,Demek ki bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
O halde bu kasabayı çok seviyorum.,O halde bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Şu halde bu kasabayı çok seviyorum.,Şu halde bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Görünüşe göre bu kasabayı çok seviyorum.,Görünüşe göre bu kasabaya çok seviyorum.,kasabayı,kasabaya,seviyorum,argument_structure,transitive
Anlaşılıyor ki bu saati çok beğendim.,Anlaşılıyor ki bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Belli ki bu saati çok beğendim.,Belli ki bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Demek ki bu saati çok beğendim.,Demek ki bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Şu halde bu saati çok beğendim.,Şu halde bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Yani bu saati çok beğendim.,Yani bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Görünüşe göre bu saati çok beğendim.,Görünüşe göre bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
O halde bu saati çok beğendim.,O halde bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Anlaşılan bu saati çok beğendim.,Anlaşılan bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Öyle görünüyor ki bu saati çok beğendim.,Öyle görünüyor ki bu saate çok beğendim.,saati,saate,beğendim,argument_structure,transitive
Yani yeni bir spora başladık.,Yani yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Demek ki yeni bir spora başladık.,Demek ki yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Öyle görünüyor ki yeni bir spora başladık.,Öyle görünüyor ki yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Anlaşılan yeni bir spora başladık.,Anlaşılan yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Şu halde yeni bir spora başladık.,Şu halde yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Anlaşılıyor ki yeni bir spora başladık.,Anlaşılıyor ki yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Görünüşe göre yeni bir spora başladık.,Görünüşe göre yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Belli ki yeni bir spora başladık.,Belli ki yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
O halde yeni bir spora başladık.,O halde yeni bir sporu başladık.,spora,sporu,başladık,argument_structure,transitive
Görünüşe göre bu fikre sıcak baktı.,Görünüşe göre bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Şu halde bu fikre sıcak baktı.,Şu halde bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
O halde bu fikre sıcak baktı.,O halde bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Anlaşılan bu fikre sıcak baktı.,Anlaşılan bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Öyle görünüyor ki bu fikre sıcak baktı.,Öyle görünüyor ki bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Belli ki bu fikre sıcak baktı.,Belli ki bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Yani bu fikre sıcak baktı.,Yani bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Demek ki bu fikre sıcak baktı.,Demek ki bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Anlaşılıyor ki bu fikre sıcak baktı.,Anlaşılıyor ki bu fikri sıcak baktı.,fikre,fikri,baktı,argument_structure,transitive
Demek ki akrabalarımla iyi geçiniyorum.,Demek ki akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Öyle görünüyor ki akrabalarımla iyi geçiniyorum.,Öyle görünüyor ki akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
O halde akrabalarımla iyi geçiniyorum.,O halde akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Anlaşılıyor ki akrabalarımla iyi geçiniyorum.,Anlaşılıyor ki akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Görünüşe göre akrabalarımla iyi geçiniyorum.,Görünüşe göre akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Anlaşılan akrabalarımla iyi geçiniyorum.,Anlaşılan akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Belli ki akrabalarımla iyi geçiniyorum.,Belli ki akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Şu halde akrabalarımla iyi geçiniyorum.,Şu halde akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Yani akrabalarımla iyi geçiniyorum.,Yani akrabalarımı iyi geçiniyorum.,akrabalarımla,akrabalarımı,geçiniyorum,argument_structure,transitive
Bu müzik serisine bayıldım.,Bu müzik serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu diz serisine bayıldım.,Bu diz serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu video serisine bayıldım.,Bu video serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu klip serisine bayıldım.,Bu klip serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu dvd serisine bayıldım.,Bu dvd serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu ses serisine bayıldım.,Bu ses serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu animasyon serisine bayıldım.,Bu animasyon serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu kitap serisine bayıldım.,Bu kitap serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Bu kaset serisine bayıldım.,Bu kaset serisini bayıldım.,serisine,serisini,bayıldım,argument_structure,transitive
Onun yanlıyı söylediğine inanıyorum.,Onun yanlıyı söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun duruyu söylediğine inanıyorum.,Onun duruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun iyiyi söylediğine inanıyorum.,Onun iyiyi söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun kotu söylediğine inanıyorum.,Onun kotu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Onun yalanı söylediğine inanıyorum.,Onun yalanı söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
Görünüşe göre onun doğruyu söylediğine inanıyorum.,Görünüşe göre onun doğruyu söylediğini inanıyorum.,söylediğine,söylediğini,inanıyorum,argument_structure,transitive
